state,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,13316.16,13134.94,13939.12,26269.88,26268,26271,25664,24814,23397,21570,20875,21802,18103,19325
Alaska,3622.78,3558.66,3847.2,3911.32,3708,5054,5188,5247,4378,4378,4235,4346,4352,4409
Arizona,25855.5,29489.12,27313.64,30042.09,33492,34626,35181,35733,42248,41964,41937,42441,37731,33854
Arkansas,12605.74,12504.85,12636.48,13595.61,14090,14295,15250,15784,15833,15879,15578,15742,13814,14495
California,83765.36,89109.96,91621.04,92599.1,147578,122798,119071,116569,117557,118058,117937,121062,95057,99729
Colorado,15502.13,15666,15404.9,15808.65,17559,16286,16687,15972,15922,15900,16086,15689,12293,13101
Connecticut,NA,NA,NA,NA,17022,16594,16167,15500,14532,13649,13228,12274,9097,9422
Delaware,5319,5118.03,5034.81,4161,6546,6798,6730,6437,6334,6140,5582,5049,4365,4520
Florida,66025.96,90310,91532.38,101581.44,100861,100940,100873,99485,85834,84929,85169,82282,68716,67135
Georgia,59395.62,57994.15,58231,48723.3,52844,53701,52719,52002,53433,53514,53268,54620,47185,46935
Hawaii,2328.45,2352.96,2199.36,2313.91,3687,3752,3965,4073,3777,3536,3527,3550,3095,2923
Idaho,6694.41,6703.56,6851.34,6877.31,7470,7219,7497,7238,7221,7637,8069,8422,7489,8203
Illinois,NA,40420.03,40038.84,42899.04,48427,48653,48278,46240,43616,41065,39392,37746,29070,27126
Indiana,23489.66,23833.92,24134.74,24546.42,24450,28495,28073,26586,25143,25773,26562,26952,23726,22918
Iowa,8673.21,8755.2,8896.8,9443.79,9115,8106,8209,8230,8378,8290,8559,8438,7071,7732
Kansas,NA,NA,NA,NA,9256,9515,9539,9533,9653,9701,9938,9784,8574,8337
Kentucky,12587.44,12748.44,12212.58,12094.74,11951,12141,12114,11959,11867,12008,12290,12220,9078,9069
Louisiana,23530.74,23676.66,22792,21959.64,18844,18794,18710,18447,17932,15152,14880,15042,13903,13231
Maine,NA,2054.65,1898.37,1791.72,1978,2073,2199,2190,2356,2354,2384,2167,1715,1560
Maryland,22923.45,22928.86,22078,22785.84,22923,21676,21236,20921,20211,19919,19180,18825,15514,15137
Massachusetts,11103.75,11142.6,11170.6,11160.31,11467,10622,10447,9493,9038,8859,8454,7923,6568,5975
Michigan,50316.14,48948.14,45391.5,45308.4,42904,43704,43359,42628,41122,39666,38761,38053,33617,32186
Minnesota,8041.21,8444.61,9280.98,9371.97,9309,9391,9576,9578,9509,9547,9314,9093,7532,7491
Mississippi,17498.25,18014.25,11897.5,11148.56,15390,15591,13069,13967,13720,15559,10061,10290,7834,8556
Missouri,29864.36,30044.16,30535.82,30480.31,30969,31499,31903,32295,32427,32564,30335,26012,23031,23137
Montana,2904.79,1617.27,1645.42,1628.63,1707,1666,1687,1686,1718,1769,1837,1985,1627,1784
Nebraska,3524.25,3587.75,3587.75,3683,4657,5012,5228,5133,5167,5198,5340,5546,5250,5511
Nevada,NA,9366.26,9270.36,NA,12159,NA,12693,13235,13932,13243,13182,12414,11089,10024
New Hampshire,2088.4,2102.1,2924.67,2236.75,2423,2848,2723,2661,2599,2533,2561,2464,2136,1935
New Jersey,16369.72,16200.96,15344.4,15505.92,20755,19528,18633,17431,16738,16597,16393,15988,11502,11374
New Mexico,3459.56,3099.84,3574.26,3247.84,3834,3783,3876,4078,3956,4048,4572,4278,3046,2873
New York,58923.36,56828.97,56299.32,54326.4,55196,53312,52362,51485,50611,49514,46778,43515,34143,30512
North Carolina,38126.88,34364,34364,34683.32,39662,37176,37348,36888,35970,36663,35157,34480,29737,29271
North Dakota,1318.03,1308.12,1367.58,1347.76,1385,1571,1325,1345,1379,1335,1336,1459,1111,1367
Ohio,NA,NA,NA,NA,47957,46224,46151,46190,45913,44257,43870,43572,38832,38523
Oklahoma,23851.2,23793.28,23987.5,24084.4,17724,18313,19126,19875,19218,19931,19968,18758,17120,16685
Oregon,13319.88,13491.82,NA,NA,13728,14605,14492,14655,14579,14660,14707,14412,12753,12676
Pennsylvania,44610.44,43730.98,49685.76,46905.59,48515,49735,48538,48241,48287,47236,45941,44871,38588,36212
Rhode Island,3523.52,3523.52,3203.2,2980.72,3032,3168,3133,2982,2887,2683,2580,2587,2053,2051
South Carolina,23678.82,23643.48,23688.56,23103.05,22343,21534,20948,20457,20376,19409,18559,18123,15726,15363
South Dakota,3242.91,3347.47,3383.9,3382.08,3551,3596,3497,3514,3770,3890,3847,3763,3186,3329
Tennessee,13862.8,13964.3,14553.58,14553.58,14684,15655,15699,14628,14106,14391,11937,11711,10442,10305
Texas,136377.08,136315.35,135423.7,137080.56,141353,140839,139879,138199,137584,137926,137286,133496,115235,113684
Utah,4987.5,4987.5,5062.36,5262.19,5294,5382,5307,4831,4502,4982,5202,5102,4063,4011
Vermont,1288.74,1096.8,1269.12,1242.68,1531,1579,1548,1509,1471,1333,1492,1396,1091,1150
Virginia,NA,30922.5,29281.98,NA,28962,28431,28480,30430,29882,29836,29577,27801,22881,24712
Washington,16897.18,17207.22,17148.45,17088.96,17109,17760,17180,17222,17228,17674,17415,17882,15030,13205
West Virginia,4052.3,4052.3,4093.65,4260.96,5149,5708,5867,5925,5899,5922,5829,5910,3993,4629
Wisconsin,22771.73,22216.25,22302.47,21995,22381,22443,22572,22914,23163,23513,23576,23402,19974,20141
Wyoming,1228.08,1198.5,1406.24,1754.59,1917,2036,2114,2133,2083,2182,2053,1980,1814,1853
